# Log start time:	 Thu, 17 Apr 2025 19:50:19
#          x     theta      time    ch1 counts    ch2 counts    coincidences

# Lateral Reset
# Rotational Reset
       82000,     6400,        5,        10348,         3335,             21
       84000,     6400,        5,        10140,         3353,             27
       86000,     6400,        5,        10061,         3457,             21
       88000,     6400,        5,         9920,         3312,             15
       90000,     6400,        5,         9798,         3151,             14
# Lateral Reset
        2000,     8000,        5,         6700,         2665,             10
        4000,     8000,        5,         6950,         2793,             15
        6000,     8000,        5,         6844,         2859,             15
        8000,     8000,        5,         6951,         2839,             21
       10000,     8000,        5,         7262,         2918,             12
       12000,     8000,        5,         7308,         2974,              7
       14000,     8000,        5,         7375,         3012,             10
       16000,     8000,        5,         7561,         3161,              9
       18000,     8000,        5,         7528,         3135,             13
       20000,     8000,        5,         7699,         3027,             11
       22000,     8000,        5,         7836,         3245,             12
       24000,     8000,        5,         8054,         3208,             18
       26000,     8000,        5,         8222,         3270,             15
       28000,     8000,        5,         8437,         3435,             15
       30000,     8000,        5,         8504,         3435,             25
       32000,     8000,        5,         8448,         3518,             22
       34000,     8000,        5,         8613,         3433,             20
       36000,     8000,        5,         8876,         3600,             25
       38000,     8000,        5,         8844,         3591,             33
       40000,     8000,        5,         8941,         3646,             37
       42000,     8000,        5,         9140,         3736,             41
       44000,     8000,        5,         9103,         3751,             43
       46000,     8000,        5,         9060,         3800,             34
       48000,     8000,        5,         9392,         3853,             25
       50000,     8000,        5,         9499,         3887,             28
       52000,     8000,        5,         9446,         3828,             28
       54000,     8000,        5,         9748,         3841,             30
       56000,     8000,        5,         9600,         3836,             28
       58000,     8000,        5,         9790,         4075,             51
       60000,     8000,        5,         9889,         3957,            106
       62000,     8000,        5,         9916,         3923,            112
       64000,     8000,        5,         9885,         4068,            165
       66000,     8000,        5,         9908,         3926,            173
       68000,     8000,        5,         9923,         3956,            234
       70000,     8000,        5,         9992,         3919,            154
       72000,     8000,        5,         9791,         3818,            106
       74000,     8000,        5,         9750,         3932,             34
       76000,     8000,        5,         9649,         3870,             31
       78000,     8000,        5,         9360,         3797,             22
       80000,     8000,        5,         9523,         3790,             25
       82000,     8000,        5,         9656,         3885,             20
       84000,     8000,        5,         9332,         3750,             17
       86000,     8000,        5,         9195,         3675,             20
       88000,     8000,        5,         9312,         3503,             14
       90000,     8000,        5,         9083,         3567,             22
# Lateral Reset
        2000,     9600,        5,         6608,         2802,             13
