Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.09
Upper Discriminator:,1610
Lower Discriminator:,-8
Calibration Coefficients:,-30.68852459016398,1.5655737704918034
Calibration Channels:,346,834
Calibration Energies:,511.0,1275.0
Elapsed Real Time:,78.8
Elapsed Live Time:,77.17
Start Time:,October 10, 2024, 03:01:26
End Time:,October 10, 2024, 03:03:07
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,392,394,157,9,0,584

Channel Data:
Channel,Energy,Counts
188,263.639344262295,353
189,265.20491803278685,334
190,266.7704918032787,326
191,268.33606557377044,309
192,269.90163934426226,330
193,271.4672131147541,327
194,273.03278688524586,316
195,274.5983606557377,317
196,276.1639344262295,312
197,277.72950819672127,311
198,279.2950819672131,350
199,280.86065573770486,278
200,282.4262295081967,318
201,283.9918032786885,309
202,285.5573770491803,333
203,287.1229508196721,312
204,288.6885245901639,294
205,290.2540983606557,336
206,291.8196721311475,283
207,293.38524590163934,321
208,294.9508196721311,277
209,296.5163934426229,304
210,298.08196721311475,275
211,299.6475409836065,332
212,301.21311475409834,295
213,302.7786885245901,267
214,304.34426229508193,264
215,305.90983606557376,259
216,307.4754098360655,294
217,309.04098360655735,245
218,310.60655737704917,276
219,312.17213114754094,286
220,313.73770491803276,270
221,315.3032786885246,288
222,316.86885245901635,275
223,318.4344262295082,293
224,320.0,244
225,321.56557377049177,209
226,323.1311475409836,214
227,324.69672131147536,215
228,326.2622950819672,236
229,327.827868852459,233
230,329.3934426229508,226
231,330.9590163934426,207
232,332.5245901639344,216
233,334.0901639344262,206
234,335.655737704918,203
235,337.22131147540983,163
236,338.7868852459016,148
237,340.3524590163934,164
238,341.9180327868852,153
239,343.483606557377,172
240,345.04918032786884,155
241,346.6147540983606,185
242,348.18032786885243,154
243,349.74590163934425,149
244,351.311475409836,135
245,352.87704918032784,134
246,354.44262295081967,121
247,356.00819672131144,107
248,357.57377049180326,117
249,359.1393442622951,112
250,360.70491803278685,129
251,362.2704918032787,116
252,363.83606557377044,111
253,365.40163934426226,111
254,366.9672131147541,105
255,368.53278688524586,110
256,370.0983606557377,95
257,371.6639344262295,110
258,373.22950819672127,101
259,374.7950819672131,107
260,376.3606557377049,93
261,377.9262295081967,105
262,379.4918032786885,92
263,381.0573770491803,102
264,382.6229508196721,103
265,384.1885245901639,92
266,385.7540983606557,85
267,387.3196721311475,101
268,388.88524590163934,79
269,390.4508196721311,81
270,392.0163934426229,84
271,393.58196721311475,92
272,395.1475409836065,82
273,396.71311475409834,91
274,398.27868852459017,81
275,399.84426229508193,86
276,401.40983606557376,91
277,402.9754098360655,79
278,404.54098360655735,87
279,406.10655737704917,81
280,407.67213114754094,72
281,409.23770491803276,80
282,410.8032786885246,91
283,412.36885245901635,63
284,413.9344262295082,66
285,415.5,91
286,417.06557377049177,71
287,418.6311475409836,82
288,420.19672131147536,66
289,421.7622950819672,94
290,423.327868852459,83
291,424.8934426229508,79
292,426.4590163934426,65
293,428.0245901639344,81
294,429.5901639344262,79
295,431.155737704918,83
296,432.72131147540983,75
297,434.2868852459016,84
298,435.8524590163934,86
299,437.41803278688525,85
300,438.983606557377,79
301,440.54918032786884,83
302,442.1147540983606,72
303,443.68032786885243,100
304,445.24590163934425,89
305,446.811475409836,99
306,448.37704918032784,100
307,449.94262295081967,124
308,451.50819672131144,122
309,453.07377049180326,128
310,454.6393442622951,133
311,456.20491803278685,145
312,457.7704918032787,137
313,459.3360655737705,188
314,460.90163934426226,174
315,462.4672131147541,184
316,464.03278688524586,194
317,465.5983606557377,193
318,467.1639344262295,247
319,468.72950819672127,253
320,470.2950819672131,278
321,471.8606557377049,258
322,473.4262295081967,363
323,474.9918032786885,367
324,476.55737704918033,401
325,478.1229508196721,427
326,479.6885245901639,464
327,481.2540983606557,507
328,482.8196721311475,553
329,484.38524590163934,561
330,485.95081967213116,601
331,487.516393442623,681
332,489.0819672131147,736
333,490.6475409836065,773
334,492.21311475409834,812
335,493.77868852459017,838
336,495.344262295082,868
337,496.9098360655737,931
338,498.4754098360655,971
339,500.04098360655735,1052
340,501.60655737704917,1050
341,503.172131147541,1109
342,504.7377049180328,1171
343,506.30327868852453,1161
344,507.86885245901635,1274
345,509.4344262295082,1117
346,511.0,1262
